nro_app,id_artefacto,nombre,tier,estado_app,donde_esta
60,74,Agus Rizzo,N3,disponible,Viernes 13:00 · Visión — Propiedad Intelectual e IA: ¿Vestigio del pasado o necesidad esencial para el desarrollo tecnológico?
61,75,Jaqui,N3,disponible,Viernes 15:40 · WorkShop — Nostr: rompé el algoritmo
63,77,Camila Soria,N3,disponible,Viernes 18:00 · Business — Stablecoins y proyectos web2.5 en LATAM: el patchwork regulatorio que nadie te explicó
66,80,Julián Landerreche,N3,disponible,Viernes 13:00 · Visión — Propiedad Intelectual e IA: ¿Vestigio del pasado o necesidad esencial para el desarrollo tecnológico?
67,81,Richard Bitzhan (DIentes),N3,disponible,Sábado 10:30 · ABC — Problemas y laberintos del ser bitcoiner
70/237,84,Adolfo Raed,N3,disponible,Sábado 15:30 · Pastilla — Offgrid Mining y Rentabilidad
74,88,Juan Manuel Dominguez,N2,disponible,"Sábado 14:50 · Pastilla — Halving 2028: ¿Muerte de la Minería Privada? : Bruno Vacotti, Dušan Matuška, Fabrizio Bianchi. MOD: Juan Manuel Dominguez"
78,92,Pedro Solimano,N3,disponible,Viernes 13:30 · Business — ¿Quién se quedó con la prima? Juicio a las tesorerías corporativas de Bitcoin
80,94,Ariel Rajovitzky,N3,disponible,Sábado 09:30 · ABC — Que es la descentralización?
81,95,Richi Espinosa,N3,disponible,Sábado 09:30 · WorkShop — Cómo ganar un torneo de trading
82,96,Julián Colombo,N1,disponible,"Viernes 17:00 · Visión — Hacia donde van los Exchanges Julián Colombo, Manuel Beaudroit, Andrés Ondarra, otros"
88,102,SebaChuffer,N3,disponible,zona para reordenar — Agentes de IA en serio: cómo delegar procesos reales a empleados digitales
89,103,Jhon (undercript0),N3,disponible,"Viernes 14:30 · ABC — Bitcoin bajo sanciones y bloqueos: Irán, Cuba, Venezuela"
94,108,Jere Souto,N3,disponible,Sábado 13:45 · WorkShop — Transferencias P2P en Ethereum: Tu primer Smart Contract en Solidity
97,111,Luis Rodriguez (Laro),N3,disponible,Sábado 10:00 · Visión — Identidad soberana y Criptografía Cuántica.
98,112,Angel Jose,N3,disponible,Sábado 12:00 · WorkShop — IA OFENSIVA : Cómo los ataques inteligentes están superando las defensas tradicionales
102,116,Camila Da Silva Tabares,N3,disponible,Viernes 13:30 · ABC — Criptoactivos sin fronteras: planificación de sucesiones multijurisdiccionales
